Model,n_repeat,id_coord,Mean_Euclidean_Dist,RMSE,MSE,MAE
SinRPMAP-KNN,1,3,2.5933171489433926,2.5833362594730476,6.673626229508198,1.5239344262295078
SinRPMAP-KNN,1,4,8.257952982330169,6.121417386494089,37.47175081967213,5.446229508196721
SinRPMAP-KNN,1,5,4.720169488482378,3.3376638536557266,11.139999999999997,3.299999999999999
SinRPMAP-KNN,1,6,2.9680528767151397,2.7553941136090625,7.592196721311472,2.000327868852458
SinRPMAP-KNN,1,7,4.178781729651062,2.9586283928897044,8.753481967213116,2.8757377049180337
SinRPMAP-KNN,1,8,5.721130774211991,4.477412894686863,20.0472262295082,3.688852459016394
SinRPMAP-KNN,1,9,4.5694638635183455,3.2310988842807014,10.439999999999994,2.9999999999999996
SinRPMAP-KNN,1,10,3.610102279890457,2.791086515037868,7.79016393442623,2.2819672131147533
SinRPMAP-KNN,1,11,4.569463863518348,3.2310988842807036,10.440000000000008,3.0000000000000018
SinRPMAP-KNN,1,12,6.395037120971195,4.69756825825699,22.067147540983616,3.5718032786885248
SinRPMAP-KNN,1,13,1.6243152403397576,1.1485643212288994,1.3192000000000024,1.1400000000000008
SinRPMAP-KNN,1,14,4.75961428707546,3.444217772669692,11.862636065573774,3.3173770491803287
SinRPMAP-KNN,1,15,9.833023793113895,7.542317772213605,56.8865573770492,6.472786885245902
SinRPMAP-KNN,1,16,8.645135950822059,6.4447706594152,41.53506885245903,5.013442622950819
SinRPMAP-RF,1,0,5.157458041383745,3.8708936263587717,14.983817466584963,3.4452337588106783
SinRPMAP-RF,1,1,3.3592642232811567,2.9197962587174717,8.525210192420545,2.260125686347961
SinRPMAP-RF,1,2,9.072793616080986,6.415433890236885,41.15779199999997,5.964
SinRPMAP-RF,1,3,6.605197410385497,4.721038549449382,22.288204985387125,4.4718044847989695
SinRPMAP-RF,1,4,6.673452205040556,5.114207593660456,26.155119311054275,4.2033415458952765
SinRPMAP-RF,1,5,0.915140644928421,0.647102155768317,0.41874120000000314,0.6174000000000043
SinRPMAP-RF,1,6,3.2122865518153847,2.9424215728722323,8.657844712503902,1.8725919438177439
SinRPMAP-RF,1,7,2.3792396626306433,1.809961373738752,3.2759601744262703,1.660986885245915
SinRPMAP-RF,1,8,4.418850829611953,3.5796692305089852,12.81403179985279,2.7074368508246693
SinRPMAP-RF,1,9,4.1617775048649595,2.942821095479642,8.660196,2.7900000000000045
SinRPMAP-RF,1,10,1.6267806974566796,1.212058572644635,1.4690859835213494,1.0859826473963274
SinRPMAP-RF,1,11,2.1972078645408084,1.5536605806932187,2.4138611999999897,1.411799999999999
SinRPMAP-RF,1,12,3.6668499074239715,2.611828874125939,6.821650067717969,2.4087202152913703
